16321581,16556600,16791425,17035275,17289224,17544126,17797032
41350152,42486839,43646629,44826849,46024250,47236259,48461567
102652,104656,106613,108535,110458,112407,114395
24591599,24722298,24854034,24985976,25116363,25243917,25368620
49554112,49936638,50199853,50428893,50746659,51014947,51245707
1775680,1791000,1805200,1824100,1821800,1801800,1816200
2998083,3191051,3395556,3598385,3782450,3935794,4052584
5447900,5514600,5607200,5719600,5835500,5956900,6082700
6246274,6333487,6415169,6494557,6576397,6663967,6758353
2181250143,2194503254,2208049607,2221689409,2235382535,2248927194,2262709895
596477846,603534610,610545003,617492351,624331830,631058524,637664490
569737872,576648286,583515410,590319145,597035363,603644865,610136397
580246796,587315129,594330743,601277206,608136047,614891969,621534921
2097555,2059709,2034319,2012647,1993782,1977527,1960424
849743066,870292396,891462067,913177742,935321745,957806497,980609415
4337141,4588368,4916404,5276102,5603279,5851479,6006668
2040551,2064166,2089928,2117361,2145785,2174645,2203821
3948125,4070167,4181563,4286291,4390737,4499621,4613823
6169140,6193501,6198258,6195970,6204108,6234955,6293253
36003,36264,36545,36834,37127,37403,37666
3097282,3028115,2987773,2957689,2932367,2904910,2872298
5776717199,5853553965,5931222701,6009749833,6088769412,6168074512,6247922508
560007444,575572515,591576162,607987351,624759914,641858608,659272676
2756602745,2799383507,2841934571,2884574006,2927194316,2970020158,3012923806
506953,518347,530946,543360,556319,569604,582972
536969,549439,562531,575841,588781,600942,612167
2070739,2072383,2074036,2075739,2077495,2079308,2081206
21151640,21743949,22346573,22961146,23589801,24234088,24894551
15167095,15627618,16097305,16577147,17068838,17573607,18091575
28112289,28635128,29170456,29706724,30228017,30723155,31187265
367000,377000,385000,393000,401000,409163,417492
15075085,15540989,16006670,16477818,16962846,17467905,17994837
414508,416268,419455,423374,427364,431874,436947
52425,52542,52663,52793,52898,52994,53066
3609543,3717672,3830239,3946170,4063920,4182341,4301018
1250400,1252404,1255882,1258653,1260934,1262605,1263473
117318941,119090017,120828307,122535969,124221600,125890949,127540423
103616,103468,103503,103702,104015,104433,104937
388376106,396573248,404782447,412950407,421022841,428961724,436720722
335581557,341822043,348195697,354641044,361077997,367449306,373719055
331770455,337894992,344148796,350471538,356783315,363027163,369167489
5221137561,5282272129,5343924376,5406028992,5468259740,5530431983,5592833481
3562045,3559986,3559519,3558566,3556397,3554108,3552000
37094,37497,37783,37971,38132,38307,38499
2712650,2761516,2814226,2869107,2923896,2976877,3027398
619428,620079,620601,621207,621810,622159,622781
32409639,32858823,33333789,33824769,34318082,34803322,35276786
24221405,24939005,25676606,26434372,27212382,28010691,28829476
50155896,50553031,50986514,51448196,51924182,52403669,52885223
2173170,2215621,2263934,2316520,2370992,2425561,2479713
10025,10057,10279,10821,11853,12475,13049
27023137,27327147,27649925,27985310,28323241,28656282,28982771
16615394,16693074,16754962,16804432,16865008,16939923,17018408
250000,254000,259000,263000,268000,273000,278000
4350700,4384000,4408100,4442100,4509700,4595700,4692700
5737723,5807820,5877108,5945747,6013997,6082035,6149928
16425578,17064636,17731634,18426372,19148219,19896965,20672987
158578261,162877076,167297284,171829303,176460502,181181744,185989640
343418591,346070702,348813722,351425360,354173159,356810463,359479269
54424,53786,53718,54036,54468,54816,55023
4889252,4953088,5018573,5079623,5137232,5188607,5232929
0,0,0,0,0,0,0
1242391523,1248769315,1256599264,1264695223,1273109967,1281401703,1289937319
3041460,3237268,3464644,3711481,3960925,4199810,4424762
26269542,26902018,27527819,28146089,28759578,29374084,29983809
2214096,2242763,2271298,2300045,2329458,2358955,2388875
170560182,174184265,177911533,181712595,185546257,189380513,193203476
20470,20599,20758,20920,21094,21288,21503
3643222,3707782,3772938,3838462,3903986,3969249,4034119
7108239,7269348,7430836,7592865,7755785,7919825,8084991
6209877,6293783,6379219,6465740,6552584,6639119,6725308
29373646,29759989,30158966,30565716,30973354,31376671,31773839
93726624,95277940,96866642,98481032,100102249,101716359,103320222
38042794,38063255,38063164,38040196,38011735,37986412,37948016
10573100,10557560,10514844,10457295,10401062,10358076,10324611
1075140985,1078083259,1082722218,1087560614,1092601669,1097570905,1102730983
739082260,760942116,783505835,806705375,830442736,854646007,879292453
3721525,3678732,3634488,3593077,3534874,3473181,3411307
1779676,1952054,2109568,2250473,2374419,2481539,2569804
20246871,20147528,20058035,19983693,19908979,19815481,19705301
142849449,142960868,143201676,143506911,143819666,144096870,144342396
10246842,10516071,10788853,11065151,11345357,11629553,11917508
186205,187665,189194,190757,192290,193759,195125
31110,31504,31914,32303,32657,32960,33203
174776,178800,182889,187045,191266,195553,199910
27425676,28238020,29086357,29944476,30776722,31557144,32275687
12916229,13300910,13703513,14120320,14546111,14976994,15411614
7291436,7234099,7199077,7164132,7130576,7095383,7057412
89770,87441,88303,89949,91359,93419,94677
6458720,6611692,6766103,6922079,7079162,7237025,7396190
5076732,5183688,5312437,5399162,5469724,5535002,5607283
35474,33435,34640,36607,37685,38824,40005
5391428,5398384,5407579,5413393,5418649,5423801,5428704
2048583,2052843,2057159,2059953,2061980,2063531,2064845
35467734,36173803,36873246,37565022,38251715,38937987,39618156
527790,539614,551531,563513,575504,587482,599419
12053223,12404725,12763776,13132349,13513125,13908129,14317996
50979432,51729345,52506515,53311955,54146734,55011976,55908865
1630729920,1653756466,1676614288,1699306053,1721840539,1744190704,1766383450
1630729920,1653756466,1676614288,1699306053,1721840539,1744190704,1766383450
10067192,10448857,10818258,11177490,11530971,11882136,12230730
